probeid	MSU6
1552726_at NA
1552727_s_at NA
1552729_at NA
1552730_at NA
1552731_at NA
1552732_at NA
1552733_at NA
1552734_at NA
1552735_at NA
1552736_a_at NA
1552737_s_at NA
1552738_a_at NA
1552739_s_at NA
1552740_at NA
1552742_at NA
1552743_at NA
1552745_at NA
1552747_a_at NA
1552749_a_at NA
1552750_at NA
1552751_a_at NA
1552752_a_at NA
1552754_a_at NA
1552755_at NA
1552757_s_at NA
1552758_at NA
1552760_at NA
1552761_at NA
1552763_at NA
1552765_x_at NA
1552766_at NA
1552767_a_at NA
1552768_at NA
1552769_at NA
1552770_s_at NA
1552771_a_at NA
1552772_at NA
1552773_at NA
1552774_a_at NA
1552775_at NA
1552777_a_at NA
1552779_a_at NA
1552782_at NA
1552783_at NA
1552785_at NA
1552787_at NA
1552788_a_at NA
1552789_at NA
1552790_a_at NA
1552791_a_at NA
1552792_at NA
1552793_at NA
1552794_a_at NA
1552796_a_at NA
1552797_s_at NA
1552798_a_at NA
1552799_at NA
1552800_at NA
1552801_at NA
1552803_a_at NA
1552804_a_at NA
1552806_a_at NA
1552807_a_at NA
1552808_at NA
1552809_at NA
1552811_at NA
1552812_a_at NA
1552813_at NA
1552814_a_at NA
1552816_at NA
1552818_a_at NA
1552819_at NA
1552822_at NA
1552825_at NA
1552826_at NA
1552827_s_at NA
1552828_at NA
1552829_at NA
1552830_at NA
1552833_at NA
1552834_at NA
1552835_at NA
1552836_at NA
1552837_at NA
1552839_at NA
1552841_s_at NA
1552842_at NA
1552843_at NA
1552845_at NA
1552846_s_at NA
1552848_a_at NA
1552849_at NA
1552851_at NA
1552852_a_at NA
1552853_at NA
1552854_a_at NA
1552856_at NA
1552857_a_at NA
1552858_at NA
1552860_at NA
1552862_at NA
1552863_a_at NA
1552865_a_at NA
1552867_at NA
1552868_at NA
1552870_s_at NA
1552872_at NA
1552873_s_at NA
1552875_a_at NA
1552876_at NA
1552877_s_at NA
1552878_at NA
1552879_a_at NA
1552880_at NA
1552882_a_at NA
1552884_at NA
1552885_a_at NA
1552887_at NA
1552889_a_at NA
1552890_a_at NA
1552892_at NA
1552893_at NA
1552895_a_at NA
1552897_a_at NA
1552898_a_at NA
1552899_at NA
1552900_a_at NA
1552902_a_at NA
1552903_at NA
1552904_at NA
1552906_at NA
1552908_at NA
1552910_at NA
1552911_at NA
1552912_a_at NA
1552913_at NA
1552914_a_at NA
1552915_at NA
1552917_at NA
1552919_at NA
1552921_a_at NA
1552922_at NA
1552923_a_at NA
1552924_a_at NA
1552925_at NA
1552927_at NA
1552928_s_at NA
1552929_at NA
1552930_at NA
1552931_a_at NA
1552932_at NA
1552933_at NA
1552935_at NA
1552937_s_at NA
1552938_at NA
1552939_at NA
1552940_at NA
1552942_at NA
1552943_at NA
1552944_a_at NA
1552946_at NA
1552947_x_at NA
1552948_at NA
1552950_at NA
1552952_at NA
1552953_a_at NA
1552954_at NA
1552955_at NA
1552957_at NA
1552960_at NA
1552961_at NA
1552964_at NA
1552965_a_at NA
1552967_at NA
1552969_a_at NA
1552970_s_at NA
1552971_at NA
1552972_at NA
1552973_at NA
1552974_at NA
1552975_x_at NA
1552976_at NA
1552977_a_at NA
1552978_a_at NA
1552979_at NA
1552980_at NA
1552982_a_at NA
1552985_at NA
1552986_at NA
1552987_a_at NA
1552988_at NA
1552990_at NA
1552991_at NA
1552993_at NA
1552995_at NA
1552997_a_at NA
1552998_at NA
1552999_a_at NA
1553002_at NA
1553003_at NA
1553004_at NA
1553006_at NA
1553007_a_at NA
1553009_s_at NA
1553011_at NA
1553013_at NA
1553015_a_at NA
1553016_at NA
1553019_at NA
1553020_at NA
1553021_s_at NA
1553022_at NA
1553023_a_at NA
1553024_at NA
1553025_at NA
1553027_a_at NA
1553028_at NA
1553030_a_at NA
1553031_at NA
1553032_at NA
1553033_at NA
1553034_at NA
1553036_at NA
1553037_a_at NA
1553039_a_at NA
1553041_at NA
1553042_a_at NA
1553043_a_at NA
1553044_at NA
1553045_at NA
1553046_s_at NA
1553047_at NA
1553048_a_at NA
1553051_s_at NA
1553052_at NA
1553053_at NA
1553055_a_at NA
1553057_at NA
1553058_at NA
1553059_at NA
1553060_at NA
1553061_at NA
1553062_at NA
1553063_at NA
1553064_at NA
1553066_at NA
1553067_a_at NA
1553069_at NA
1553070_a_at NA
1553071_a_at NA
1553072_at NA
1553074_at NA
1553075_a_at NA
1553076_at NA
1553077_at NA
1553078_at NA
1553079_at NA
1553080_at NA
1553081_at NA
1553082_at NA
1553083_at NA
1553084_at NA
1553086_at NA
1553087_at NA
1553088_a_at NA
1553089_a_at NA
1553093_a_at NA
1553094_at NA
1553096_s_at NA
1553099_at NA
1553101_a_at NA
1553102_a_at NA
1553103_at NA
1553105_s_at NA
1553106_at NA
1553107_s_at NA
1553108_at NA
1553111_a_at NA
1553112_s_at NA
1553113_s_at NA
1553114_a_at NA
1553115_at NA
1553117_a_at NA
1553118_at NA
1553120_at NA
1553122_s_at NA
1553123_at NA
1553125_x_at NA
1553126_a_at NA
1553127_a_at NA
1553129_at NA
1553130_at NA
1553131_a_at NA
1553132_a_at NA
1553133_at NA
1553134_s_at NA
1553136_at NA
1553137_s_at NA
1553138_a_at NA
1553139_s_at NA
1553140_at NA
1553141_at NA
1553142_at NA
1553145_at NA
1553146_at NA
1553147_at NA
1553148_a_at NA
1553150_at NA
1553151_at NA
1553153_at NA
1553155_x_at NA
1553156_at NA
1553157_at NA
1553158_at NA
1553159_at NA
1553162_x_at NA
1553163_at NA
1553165_at NA
1553166_at NA
1553167_a_at NA
1553168_at NA
1553169_at NA
1553171_x_at NA
1553172_at NA
